

*******************************************************************************
Ephemeris / WWW_USER Tue Mar 19 06:35:43 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Moon (301)                      {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1996-Jan-04 00:00:00.0000 TDB
Stop  time      : A.D. 1996-Jan-06 00:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2450086.569444444, A.D. 1996-Jan-04 01:40:00.0000, -3.310878409832853E+07,  1.437047898885457E+08, -2.924091637189686E+04, -3.046106686260099E+01, -6.709351797312330E+00, -4.221635997686324E-02,
2450086.570138889, A.D. 1996-Jan-04 01:41:00.0000, -3.311061176036675E+07,  1.437043873124190E+08, -2.924344902095199E+04, -3.046100107353089E+01, -6.709852426181145E+00, -4.220527488595582E-02,
2450086.570833333, A.D. 1996-Jan-04 01:42:00.0000, -3.311243941845685E+07,  1.437039847062545E+08, -2.924598100486398E+04, -3.046093525918397E+01, -6.710353055752059E+00, -4.219418892757876E-02,
2450086.571527778, A.D. 1996-Jan-04 01:43:00.0000, -3.311426707259734E+07,  1.437035820700523E+08, -2.924851232359558E+04, -3.046086941956010E+01, -6.710853686022293E+00, -4.218310210195453E-02,
2450086.572222222, A.D. 1996-Jan-04 01:44:00.0000, -3.311609472278670E+07,  1.437031794038122E+08, -2.925104297710955E+04, -3.046080355465914E+01, -6.711354316989069E+00, -4.217201440930785E-02,
2450086.572916667, A.D. 1996-Jan-04 01:45:00.0000, -3.311792236902340E+07,  1.437027767075342E+08, -2.925357296530902E+04, -3.046073766448097E+01, -6.711854948649616E+00, -4.216092584986120E-02,
2450086.573611111, A.D. 1996-Jan-04 01:46:00.0000, -3.311975001130593E+07,  1.437023739812183E+08, -2.925610228818655E+04, -3.046067174902546E+01, -6.712355581001155E+00, -4.214983642383929E-02,
2450086.574305556, A.D. 1996-Jan-04 01:47:00.0000, -3.312157764963277E+07,  1.437019712248645E+08, -2.925863094566762E+04, -3.046060580829248E+01, -6.712856214040912E+00, -4.213874613146462E-02,
2450086.575000000, A.D. 1996-Jan-04 01:48:00.0000, -3.312340528400242E+07,  1.437015684384726E+08, -2.926115893770009E+04, -3.046053984228190E+01, -6.713356847766109E+00, -4.212765497296278E-02,
2450086.575694445, A.D. 1996-Jan-04 01:49:00.0000, -3.312523291441335E+07,  1.437011656220428E+08, -2.926368626425415E+04, -3.046047385099360E+01, -6.713857482173973E+00, -4.211656294855537E-02,
2450086.576388889, A.D. 1996-Jan-04 01:50:00.0000, -3.312706054086404E+07,  1.437007627755747E+08, -2.926621292524040E+04, -3.046040783442745E+01, -6.714358117261725E+00, -4.210547005846754E-02,
